"filename", "language", "Go", "Makefile", "Go Module File", "Go Checksum File", "CMake", "Shell Script", "Markdown", "XML", "YAML", "JSON", "Docker", "comment", "blank", "total"
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\CMakeLists.txt", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\Makefile", "Makefile", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 42
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\client\client.go", "Go", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 75
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\client\client_test.go", "Go", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 17, 202
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\cmd\main.go", "Go", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 25, 160
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\cmd\main_test.go", "Go", 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 358
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\examples\vgpu-exceed.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 0, 15
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\examples\vgpu-test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\examples\vgpu-whole-card.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\go.mod", "Go Module File", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\go.sum", "Go Checksum File", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\runtime\service\api.pb.go", "Go", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42, 349
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\runtime\service\api_grpc.pb.go", "Go", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 18, 148
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\runtime\service\service_impl.go", "Go", 422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 476
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\runtime\service\service_impl_test.go", "Go", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 259
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\watchers\watchers.go", "Go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 37
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\watchers\watchers_test.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 68
