"filename", "language", "Shell Script", "YAML", "comment", "blank", "total"
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\gpu_env_init.sh", "Shell Script", 21, 0, 4, 5, 30
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\Chart.yaml", "YAML", 0, 7, 1, 1, 9
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-client-update-daemonset.yaml", "YAML", 0, 53, 1, 0, 54
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-device-plugin-configmap.yaml", "YAML", 0, 10, 2, 0, 12
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-device-plugin-daemonset.yaml", "YAML", 0, 94, 1, 0, 95
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\npu-client-update-daemonset.yaml", "YAML", 0, 53, 1, 0, 54
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\npu-device-plugin-daemonset.yaml", "YAML", 0, 86, 1, 0, 87
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\role-binding.yaml", "YAML", 0, 15, 1, 0, 16
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\role.yaml", "YAML", 0, 33, 1, 1, 35
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\runtimeclass.yaml", "YAML", 0, 5, 0, 0, 5
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\service-account.yaml", "YAML", 0, 7, 1, 1, 9
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-exporter-daemonset.yaml", "YAML", 0, 67, 1, 0, 68
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-exporter-service.yaml", "YAML", 0, 15, 1, 0, 16
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-servicemonitor.yaml", "YAML", 0, 22, 1, 0, 23
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\values.yaml", "YAML", 0, 97, 1, 13, 111
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\install.sh", "Shell Script", 105, 0, 12, 17, 134
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\npu_env_init.sh", "Shell Script", 3, 0, 2, 2, 7
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\uninstall.sh", "Shell Script", 48, 0, 7, 10, 65
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\client-update.yaml", "YAML", 0, 37, 1, 1, 39
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\gpu-device-plugin.yaml", "YAML", 0, 118, 4, 9, 131
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\namespace.yaml", "YAML", 0, 6, 1, 1, 8
"Total", "-", 177, 725, 45, 61, 1008
