"filename", "language", "Go", "Shell Script", "YAML", "comment", "blank", "total"
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\gpu_env_init.sh", "Shell Script", 0, -21, 0, -4, -5, -30
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\Chart.yaml", "YAML", 0, 0, -7, -1, -1, -9
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-client-update-daemonset.yaml", "YAML", 0, 0, -53, -1, 0, -54
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-device-plugin-configmap.yaml", "YAML", 0, 0, -10, -2, 0, -12
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\gpu-device-plugin-daemonset.yaml", "YAML", 0, 0, -94, -1, 0, -95
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\npu-client-update-daemonset.yaml", "YAML", 0, 0, -53, -1, 0, -54
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\npu-device-plugin-daemonset.yaml", "YAML", 0, 0, -86, -1, 0, -87
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\role-binding.yaml", "YAML", 0, 0, -15, -1, 0, -16
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\role.yaml", "YAML", 0, 0, -33, -1, -1, -35
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\runtimeclass.yaml", "YAML", 0, 0, -5, 0, 0, -5
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\service-account.yaml", "YAML", 0, 0, -7, -1, -1, -9
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-exporter-daemonset.yaml", "YAML", 0, 0, -67, -1, 0, -68
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-exporter-service.yaml", "YAML", 0, 0, -15, -1, 0, -16
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\templates\xpu-servicemonitor.yaml", "YAML", 0, 0, -22, -1, 0, -23
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\helm\gpupool\values.yaml", "YAML", 0, 0, -97, -1, -13, -111
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\install.sh", "Shell Script", 0, -105, 0, -12, -17, -134
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\npu_env_init.sh", "Shell Script", 0, -3, 0, -2, -2, -7
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\uninstall.sh", "Shell Script", 0, -48, 0, -7, -10, -65
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\client-update.yaml", "YAML", 0, 0, -37, -1, -1, -39
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\gpu-device-plugin.yaml", "YAML", 0, 0, -118, -4, -9, -131
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\install\yaml\namespace.yaml", "YAML", 0, 0, -6, -1, -1, -8
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\cgo_helpers_static.go", "Go", 12, 0, 0, 3, 3, 18
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_api.go", "Go", 41, 0, 0, 22, 19, 82
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_common.go", "Go", 0, 0, 0, 0, 1, 1
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_const.go", "Go", 48, 0, 0, 15, 13, 76
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_const_static.go", "Go", 18, 0, 0, 5, 6, 29
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_device.go", "Go", 110, 0, 0, 4, 18, 132
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_event.go", "Go", 43, 0, 0, 7, 8, 58
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_lib.go", "Go", 110, 0, 0, 4, 27, 141
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_refcount.go", "Go", 12, 0, 0, 7, 5, 24
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\gonvml\nvml_wrap.go", "Go", 169, 0, 0, 244, 39, 452
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\graph\graph.go", "Go", 33, 0, 0, 17, 7, 57
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\lock\nodelock.go", "Go", 164, 0, 0, 8, 11, 183
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\log\console.go", "Go", 40, 0, 0, 7, 10, 57
"c:\Users\admin\IdeaProjects\untitled\scheduler\xpu-pool-service\GPU-device-plugin\pkg\api\log\file.go", "Go", 361, 0, 0, 64, 62, 487
